"spkid","pdes","name","moid","class","pha","diameter","albedo","data_arc","spec_B","spec_T","H","e","q","epoch","a","i","ad","n_obs_used"
20001566,1566,Icarus,0.0335,APO,Y,1.0,0.51,27807,,,16.53,0.8270,0.186,2461000.5,1.078,22.80,1.97,1792
20001620,1620,Geographos,0.0294,APO,Y,2.56,0.290,27046,S,S,15.27,0.3355,0.828,2461000.5,1.246,13.34,1.66,8187
20001862,1862,Apollo,0.026,APO,Y,1.5,0.25,34421,Q,Q,16.08,0.5599,0.647,2461000.5,1.471,6.35,2.29,3473
20001981,1981,Midas,0.00277,APO,Y,3.4,,19203,V,,15.25,0.6505,0.621,2461000.5,1.776,39.82,2.93,2293
20002101,2101,Adonis,0.0115,APO,Y,0.6,,32656,,,18.69,0.7641,0.442,2461000.5,1.874,1.32,3.31,149
20002102,2102,Tantalus,0.0426,APO,Y,1.649,0.245,18167,Q,,16.00,0.2994,0.904,2461000.5,1.29,64.01,1.68,2154
20002135,2135,Aristaeus,0.00853,APO,Y,,,15749,,,18.05,0.5031,0.795,2461000.5,1.6,23.07,2.40,61
20002201,2201,Oljato,0.00278,APO,Y,1.80,0.4328,34265,Sq,,15.32,0.7107,0.630,2461000.5,2.179,2.52,3.73,1847
20002340,2340,Hathor,0.00663,ATE,Y,0.3,,16477,Sq,CSU,20.43,0.4499,0.464,2461000.5,0.8439,5.86,1.22,572
20003122,3122,Florence,0.0436,AMO,Y,4.9,0.231,16876,S,,14.08,0.4232,1.020,2461000.5,1.769,22.14,2.52,9973
20003200,3200,Phaethon,0.0187,APO,Y,6.25,0.1066,15316,B,F,14.39,0.8897,0.140,2461000.5,1.271,22.31,2.40,8092
20003361,3361,Orpheus,0.0146,APO,Y,0.3,0.357,15865,,,19.56,0.3232,0.819,2461000.5,1.21,2.65,1.60,2792
20003362,3362,Khufu,0.013,ATE,Y,0.7,0.21,7394,,,18.52,0.4685,0.526,2461000.5,0.9895,9.92,1.45,262
20003671,3671,Dionysus,0.015,APO,Y,1.5,0.16,14798,Cb,,16.49,0.5438,1.002,2461000.5,2.197,13.53,3.39,1125
20003757,3757,Anagolay,0.0366,APO,Y,0.5,0.18,15208,,S,19.01,0.4459,1.017,2461000.5,1.835,3.87,2.65,211
20004015,4015,Wilson-Harrington,0.043,APO,Y,4,0.05,27524,,CF,16.19,0.6309,0.969,2461000.5,2.626,2.80,4.28,1521
20004034,4034,Vishnu,0.0191,APO,Y,0.42,0.52,14206,O,,18.49,0.4440,0.589,2461000.5,1.059,11.17,1.53,1296
20004179,4179,Toutatis,0.00651,APO,Y,5.4,0.405,33325,Sk,,15.29,0.6247,0.954,2461000.5,2.543,0.45,4.13,7111
20004183,4183,Cuno,0.0284,APO,Y,3.651,0.097,24225,Sq,,14.16,0.6362,0.721,2461000.5,1.981,6.67,3.24,3997
20004450,4450,Pan,0.0287,APO,Y,,,32370,,,17.28,0.5866,0.596,2461000.5,1.442,5.52,2.29,1544
20004486,4486,Mithra,0.0459,APO,Y,1.849,0.297,13851,,,15.61,0.6600,0.750,2461000.5,2.206,3.03,3.66,1923
20004581,4581,Asclepius,0.00385,APO,Y,,,11706,,,20.74,0.3569,0.658,2461000.5,1.023,4.92,1.39,424
20004660,4660,Nereus,0.00416,APO,Y,0.33,0.55,15434,Xe,,18.75,0.3588,0.952,2461000.5,1.485,1.45,2.02,4994
20004769,4769,Castalia,0.0203,APO,Y,1.4,0.092,13146,,,17.40,0.4832,0.549,2461000.5,1.063,8.89,1.58,654
20005011,5011,Ptah,0.0241,APO,Y,,,23749,,,16.66,0.5002,0.818,2461000.5,1.636,7.41,2.45,721
20006239,6239,Minos,0.0261,APO,Y,,,15607,,,18.59,0.4125,0.676,2461000.5,1.151,3.94,1.63,1990
20006489,6489,Golevka,0.0225,APO,Y,0.53,0.151,8968,Q,,19.22,0.6188,0.944,2461000.5,2.477,2.26,4.01,1017
20011500,11500,Tomaiyowit,0.0344,APO,Y,0.738,0.142,13076,S,,18.36,0.3558,0.696,2461000.5,1.08,10.31,1.46,1250
20012923,12923,Zephyr,0.02,APO,Y,2.060,0.199,25506,S:,,15.80,0.4927,0.995,2461000.5,1.962,5.31,2.93,2889
20014827,14827,Hypnos,0.0158,APO,Y,0.9,,14112,,,18.81,0.6643,0.957,2461000.5,2.851,1.97,4.74,375
20025143,25143,Itokawa,0.0133,APO,Y,0.33,,9588,S(IV),,19.26,0.2802,0.953,2461000.5,1.324,1.62,1.70,1025
20037655,37655,Illapa,0.0247,APO,Y,,,10923,,,17.85,0.7524,0.366,2461000.5,1.478,18.03,2.59,658
20065803,65803,Didymos,0.0397,APO,Y,0.78,,722,S,,18.11,0.3832,1.013,2461000.5,1.643,3.41,2.27,1647
20066391,66391,Moshup,0.0119,ATE,Y,1.317,,9911,S:,,16.64,0.6884,0.200,2461000.5,0.6424,38.88,1.08,3868
20069230,69230,Hermes,0.00491,APO,Y,,,32025,,,17.68,0.6239,0.622,2461000.5,1.655,6.07,2.69,2700
20085585,85585,Mjolnir,0.0211,APO,Y,,,2039,,,21.64,0.3563,0.835,2461000.5,1.298,4.08,1.76,196
20099942,99942,Apophis,0.000361,ATE,Y,0.34,0.35,6599,Sq,,19.09,0.1912,0.746,2461000.5,0.9224,3.34,1.10,7370
20101955,101955,Bennu,0.00322,APO,Y,0.48444,0.044,7693,B,,20.21,0.2037,0.897,2455562.5,1.126,6.03,1.36,554
20136795,136795,Tatsunokingo,0.0367,APO,Y,,,10451,S,,18.11,0.4781,0.912,2461000.5,1.747,10.99,2.58,421
20161989,161989,Cacus,0.0144,APO,Y,1.9,0.09,16425,,S,17.31,0.2138,0.883,2461000.5,1.123,26.07,1.36,1795
20162173,162173,Ryugu,0.000833,APO,Y,0.896,0.045,14345,Cb,,19.55,0.1911,0.963,2461000.5,1.191,5.87,1.42,5075
20164207,164207,Cardea,0.00309,APO,Y,0.163,0.219,8688,,,21.19,0.1359,0.865,2461000.5,1.001,13.65,1.14,346
20217628,217628,Lugh,0.0341,APO,Y,1.4,,22716,,,16.68,0.7117,0.728,2461000.5,2.527,4.44,4.33,503
20314082,314082,Dryope,0.0138,APO,Y,,,7415,,,17.50,0.5768,0.946,2461000.5,2.235,16.19,3.52,363
20326290,326290,Akhenaten,0.00351,ATE,Y,,,11624,,,21.83,0.4401,0.492,2461000.5,0.8791,3.38,1.27,345
20398188,398188,Agni,0.0219,ATE,Y,0.462,0.137,7726,,,19.33,0.2733,0.628,2461000.5,0.8645,13.25,1.10,684
20506074,506074,Svarog,0.048,APO,Y,0.665,0.110,3446,,,18.90,0.6874,0.487,2461000.5,1.558,6.01,2.63,645
20524522,524522,Zoozve,0.0259,ATE,Y,,,7622,,,20.54,0.4101,0.427,2461000.5,0.7236,9.04,1.02,610
20614470,614470,Flordeneu,0.0109,APO,Y,,,9559,,,18.38,0.5954,0.954,2461000.5,2.359,6.73,3.76,439
20620096,620096,Curupira,0.00791,APO,Y,,,5237,,,19.85,0.6159,0.696,2461000.5,1.813,5.15,2.93,400
